Star Rating,Comment
4,Điện thoại này dùng rất thích
4,sử dụng thấy cũng ok
2,"Bảo hành ít quá, chỉ 12 tháng"
5,"Sản phẩm mượt, chạy êm"
3,Cho mình hỏi muốn khởi động lại máy hay tắt nguồn thì thao tác như thế nào ạ
5,"Đã mua và được khoảng 03 tuần. Kết luận Pin sạc nhanh, thời lượng pin tuỳ vào nhu cầu người dùng. Camera ổn. Phản hồi ứng dụng nhanh. Màu xanh đẹp, nhẹ. Có nhiều tính năng hỗ trợ người dùng.
"
5,"Dùng mượt, tốt, nên mua"
3,5 triệu thì mua được máy nào ạ
5,dùng ok
5,Ok tốt
2,"Mua được 2 tuần máy lỗi nhiều, máy nóng và tụt pin. Ko thể chấp nhận được với con máy hơn chục củ"
2,Mới mua được mấy tiếng đã thấy dùng chán
1,thật sự thất vọng với 1 con điện thoại 12tr
2,Sử dụng liên tục thì tụt pin. Nhưng mà cũng vì mặt lưng kính vs là loại Fe nên Dùng nóng lắm nha. 
2,Tụt pin nhanh và máy nóng
1,"Điện thoại mới mua bị nóng máy, sử dụng nhanh tụt pin, cảm giác lo sợ. Cửa hàng thì không hỗ trợ đổi, rất tệ"
1,máy mới mua mà tụt pin nhanh hơn điện thoại cũ
1,máy quá tệ
5,Rất tốt
5,Máy quá ổn
2,Mới mua 2 ngày nhưng rất ân hận
2,Thất vọng về cái máy vì không chụp được ảnh
4,Dùng tốt
2,Máy nhanh tụt pin
2,Máy chạy hơi châm
2,"máy nóng, thực sự hối hận kinh khủng"
2,"Máy khá nóng dù chỉ dùng tác vụ nhẹ nhàng, chắc do chip Exynos. Mọi người mua nhớ chú ý sẽ phải đợi update"
4,Dùng rất thích
5,Máy nên mua mọi người ạ
5,Mới mua dùng thấy ổn. Máy thiết kế đẹp. Hàng mới nên an tâm về chất lượng
5,Chất lượng ổn. Giá OK. Mua ngày 3/5/2024
5,"mua ở Thế Giới Di Động, máy dùng ok, pin còn 100%, nhân viên tư vấn tốt"
5,Rất hài lòng với sản phẩm này
2,Máy tụt pin nhanh dù không sử dụng
3,Mình mua trả góp điện thoại thì thanh toán khoản góp theo tháng bằng thẻ visa tại cửa hàng được không ạ
2,Máy mới mua 2 tuần nhưng sử dụng rất nóng máy
1,"Bảo hành xong vẫn hỏng, nhân viên tổng đài thái độ kém, làm ăn vô trách nhiệm thật sự"
5,Cho mình hỏi iPhone 13 hàng qua sử dụng ở Thế giới Di Động là máy mới chưa qua sửa chữa gì phải không ạ
2,"Máy sạc nóng quá, sạc cũng chậm so với các dòng máy khác"
5,Đối với mình thì máy rất đáng khen
2,Cam sau chụp xấu
5,Mua đc tháng dùng thấy ổn lắm
4,Máy sử dụng ok
2,pin tụt nhanh
5,Rất ok
2,máy lúc nào cũng trong tình trạng nóng
3,"Tạm, dùng tạm được"
5,"Tốt hơn mong đợi nha mọi người ơi, nên mua nhé"
4,Rất tốt
3,Cho em hỏi nên sạc điện thoại vào ban đêm không ạ
3,"Mình mua ip 13 thường 128g hồi tháng 1, bây giờ mình muốn đổi lên ip15 thường 128g thì cần bù thêm bao nhiêu tiền ạ"
5,Sử dụng tốt
2,pin tụt nhanh lắm
2,Mới mua đã lỗi 
1,thất vong với thái độ phục vụ tệ của thế giới di động
5,Máy dùng ok lắm ạ. Nhân viên nhiệt tình vui vẻ
4,Được
4,pin còn 90% điện thoại nhỏ gọn màu xinh
5,"Dùng rất ok, mượt mà"
